,ObsID,DateTime,MMSI,VesselName,CallSign,Length,Width,Draft,ObservableProperty,Value,Timestamp
0,0,10/09/2021  00:00:00,248325000,CELEBRITY EDGE,9HA4612,306,40,8.4,LatLong,"25.17248,-79.95647",1631228400
1,1,10/09/2021  00:00:00,248325000,CELEBRITY EDGE,9HA4612,306,40,8.4,SpeedOverGround,16.7,1631228400
2,2,10/09/2021  00:00:00,248325000,CELEBRITY EDGE,9HA4612,306,40,8.4,Course,31.4,1631228400
3,3,10/09/2021  00:00:00,248325000,CELEBRITY EDGE,9HA4612,306,40,8.4,Bearing,34,1631228400
4,4,10/09/2021  00:00:00,366993660,PAMELA ANN,WDH8645,19,9,0,LatLong,"29.80848,-90.00740",1631228400
5,5,10/09/2021  00:00:00,366993660,PAMELA ANN,WDH8645,19,9,0,SpeedOverGround,0,1631228400
6,6,10/09/2021  00:00:00,366993660,PAMELA ANN,WDH8645,19,9,0,Course,267.7,1631228400
7,7,10/09/2021  00:00:00,366993660,PAMELA ANN,WDH8645,19,9,0,Bearing,511,1631228400
8,8,10/09/2021  00:00:00,367032830,DULARGE,WCS8769,30,14,0,LatLong,"29.51769,-94.88286",1631228400
9,9,10/09/2021  00:00:00,367032830,DULARGE,WCS8769,30,14,0,SpeedOverGround,6.1,1631228400
10,10,10/09/2021  00:00:00,367032830,DULARGE,WCS8769,30,14,0,Course,324.8,1631228400
11,11,10/09/2021  00:00:00,367032830,DULARGE,WCS8769,30,14,0,Bearing,511,1631228400
12,12,10/09/2021  00:00:00,367475360,LYNN R,WDF6546,16,6,0,LatLong,"28.73681,-95.82574",1631228400
13,13,10/09/2021  00:00:00,367475360,LYNN R,WDF6546,16,6,0,SpeedOverGround,6.5,1631228400
14,14,10/09/2021  00:00:00,367475360,LYNN R,WDF6546,16,6,0,Course,71.4,1631228400
15,15,10/09/2021  00:00:00,367475360,LYNN R,WDF6546,16,6,0,Bearing,511,1631228400
16,16,10/09/2021  00:00:00,416466000,YM UNANIMITY,BLHL,333,42,13,LatLong,"33.48480,-118.29959",1631228400
17,17,10/09/2021  00:00:00,416466000,YM UNANIMITY,BLHL,333,42,13,SpeedOverGround,0.3,1631228400
18,18,10/09/2021  00:00:00,416466000,YM UNANIMITY,BLHL,333,42,13,Course,128.8,1631228400
19,19,10/09/2021  00:00:00,416466000,YM UNANIMITY,BLHL,333,42,13,Bearing,219,1631228400
20,20,10/09/2021  00:00:00,367446970,HARVEY PIONEER,WKIR,71,17,4.7,LatLong,"29.25121,-90.21037",1631228400
21,21,10/09/2021  00:00:00,367446970,HARVEY PIONEER,WKIR,71,17,4.7,SpeedOverGround,0,1631228400
22,22,10/09/2021  00:00:00,367446970,HARVEY PIONEER,WKIR,71,17,4.7,Course,242.9,1631228400
23,23,10/09/2021  00:00:00,367446970,HARVEY PIONEER,WKIR,71,17,4.7,Bearing,244,1631228400
24,24,10/09/2021  00:00:00,636018068,MSC AVNI,D5OA3,0,0,0,LatLong,"33.16488,-117.95663",1631228400
25,25,10/09/2021  00:00:00,636018068,MSC AVNI,D5OA3,0,0,0,SpeedOverGround,9.4,1631228400
26,26,10/09/2021  00:00:00,636018068,MSC AVNI,D5OA3,0,0,0,Course,336.7,1631228400
27,27,10/09/2021  00:00:00,636018068,MSC AVNI,D5OA3,0,0,0,Bearing,333,1631228400
28,28,10/09/2021  00:00:00,316013688,FINLAY,CFN5265,13,6,3.8,LatLong,"49.14788,-123.87643",1631228400
29,29,10/09/2021  00:00:00,316013688,FINLAY,CFN5265,13,6,3.8,SpeedOverGround,0.5,1631228400
30,30,10/09/2021  00:00:00,316013688,FINLAY,CFN5265,13,6,3.8,Course,262.6,1631228400
31,31,10/09/2021  00:00:00,316013688,FINLAY,CFN5265,13,6,3.8,Bearing,42,1631228400
32,32,10/09/2021  00:00:00,367704410,CAPT JIMMY WARREN,WDI5025,25,0,0,LatLong,"29.49548,-94.56958",1631228400
33,33,10/09/2021  00:00:00,367704410,CAPT JIMMY WARREN,WDI5025,25,0,0,SpeedOverGround,6.6,1631228400
34,34,10/09/2021  00:00:00,367704410,CAPT JIMMY WARREN,WDI5025,25,0,0,Course,67.8,1631228400
35,35,10/09/2021  00:00:00,367704410,CAPT JIMMY WARREN,WDI5025,25,0,0,Bearing,64,1631228400
36,36,10/09/2021  00:00:00,367793980,CLEVELAND,WDJ6062,0,0,0,LatLong,"41.72453,-87.53998",1631228400
37,37,10/09/2021  00:00:00,367793980,CLEVELAND,WDJ6062,0,0,0,SpeedOverGround,0,1631228400
38,38,10/09/2021  00:00:00,367793980,CLEVELAND,WDJ6062,0,0,0,Course,218,1631228400
39,39,10/09/2021  00:00:00,367793980,CLEVELAND,WDJ6062,0,0,0,Bearing,187,1631228400
40,40,10/09/2021  00:00:00,316003703,BLUE WATERS,CZ4012,28,6,3.3,LatLong,"49.12433,-123.19040",1631228400
